"coverType","tsd","t1","Ac","iqs","IDR100","G","seedlings"
"PG",90,3.89891881643696,86.101081183563,11.7299995422363,0.855745981424116,34.5428104001347,1.79300857239906
"EN",26,5.83283822993302,20.167161770067,9.67000007629395,0.934607822238468,27.2907292258819,0.380240014593218
"EN",10,2.76189080969283,7.23810919030717,14.8199996948242,0.517208275012672,0,0
"PG",90,2.73113412300029,87.2688658769997,15.0299997329712,0.580031216726638,21.6587768754855,1.20003197121977
"PG",90,3.89891881643696,86.101081183563,11.7299995422363,0.195500606182031,8.28854948196848,0.525395453645278
"EN",9,4.16552196101905,4.83447803898095,11.7200002670288,0.346210125042126,0,0
"EN",168,5.81177500928713,150,9.6899995803833,0.105935873277485,9.14413943152784,0.449095392497922
"EN",350,5.83283822993302,150,9.67000007629395,0.402109838346951,14.6315364559466,0.701905004387241
"EN",147,5.81177500928713,141.188224990713,9.6899995803833,0.425257478188723,14.5879821952926,0.689537900209549
"EN",90,2.69781781721035,87.3021821827897,15.0200004577637,0.257372132781893,8.97344053923267,0.360788639733286
"EN",34,2.70096583106256,31.2990341689374,15.0100002288818,0.481493039359339,2.26076008811429,0.0469036029556185
"EN",14,2.7651568097405,11.2348431902595,14.8100004196167,0.858069276250899,22.4773515448144,0.150899454466154
"EN",90,4.23487406087789,85.7651259391221,11.6099996566772,0.60911704916507,19.0291962923693,0.734585201780542
"EN",251,5.81177500928713,150,9.6899995803833,0.571481044497341,19.2436075253664,0.9105945948811
"EN",243,4.23487406087789,150,11.6099996566772,0.14652568763122,12.4256331273615,0.5990134543571
"EN",90,4.51710557201067,85.4828944279893,11.1899995803833,0.507298353780061,13.6085543716502,0.536430387519729
"EN",90,2.69781781721035,87.3021821827897,15.0200004577637,0.538645156240091,19.4271538599885,0.751502682494468
"EN",10,2.70096583106256,7.29903416893744,15.0100002288818,0.509682857431471,0,0
"EN",90,2.70096583106256,87.2990341689374,15.0100002288818,0.188038215553388,7.41575646184078,0.301010497592445
"EN",14,2.69781781721035,11.3021821827896,15.0200004577637,0.472515121567994,0,0
"EN",27,5.79083004847808,21.2091699515219,9.71000003814697,0.513131664227694,0.157952918495349,0.00296739188683982
"EN",21,4.57421317163769,16.4257868283623,11.1099996566772,0.164343263395131,0,0
"EN",106,4.58143080711188,101.418569192888,11.1000003814697,0.683676446671598,24.2196540918092,1.00119530525734
"EN",103,5.79083004847808,97.2091699515219,9.71000003814697,0.369223820092157,8.94646395880603,0.38360136205461
"EN",178,5.81177500928713,150,9.6899995803833,0.498996029351838,17.1385185864167,0.815694469200308
"EN",9,2.76189080969283,6.23810919030717,14.8199996948242,0.680140628758818,0,0
"EN",9,4.19053291543647,4.80946708456353,11.6800003051758,0.280576610774733,0,0
"EN",10,4.20312728379529,5.79687271620471,11.6599998474121,0.430204953812063,0,0
"EN",90,4.58143080711188,85.4185691928881,11.1000003814697,0.206613527634181,5.7839741378056,0.237874004012866
"EN",14,2.76842919403717,11.2315708059628,14.8000001907349,0.104082836792804,0,0
"EN",33,4.57421317163769,28.4257868283623,11.1099996566772,0.462455521547236,0.778773696088745,0.0166233765508986
"EN",18,4.58143080711188,13.4185691928881,11.1000003814697,0.388945078128017,0,0
"EN",490,4.57421317163769,150,11.1099996566772,0.401261216169223,17.7612927958712,0.842456721561899
"EN",18,2.7651568097405,15.2348431902595,14.8100004196167,0.563340464956127,0,0
"EN",90,2.69781781721035,87.3021821827897,15.0200004577637,0.18519335675519,7.35999567473589,0.298865301173574
"EN",90,4.63982595771585,85.3601740422841,11.0200004577637,0.331932018627413,8.13220367171953,0.328688353725853
"EN",10,4.20312728379529,5.79687271620471,11.6599998474121,0.303575356001966,0,0
"EN",90,4.20312728379529,85.7968727162047,11.6599998474121,0.109370844927616,4.73536414644279,0.196001177546967
"EN",90,4.19682267718782,85.8031773228122,11.6700000762939,0.210965809645131,6.29727674390288,0.256970950978586
"PG",18,2.79228846396401,15.207711536036,14.8000001907349,0.20945845132228,0,0
"EN",19,2.69781781721035,16.3021821827897,15.0200004577637,0.20381713679526,0,0
"EN",249,4.22213004563151,150,11.6300001144409,0.854749097325839,38.6101865170499,1.75873651840289
"EN",90,4.57421317163769,85.4257868283623,11.1099996566772,0.124266136903316,4.59686820959921,0.191244465135941
"EN",37,2.70096583106256,34.2990341689374,15.0100002288818,0.190997011121362,0.397012273044279,0.00972358462843608
"EN",30,2.70411961994944,27.2958803800506,15,0.29405211713165,0.265657395576754,0.00543047514072605
"EN",90,4.29297513194421,85.7070248680558,11.5200004577637,0.342730745160952,8.94147445385078,0.358331075732378
"EN",14,4.19682267718782,9.80317732281218,11.6700000762939,0.459650423494168,0,0
"EN",14,4.53127669545564,9.46872330454436,11.1700000762939,0.23551271231845,0,0
"EN",14,4.16552196101905,9.83447803898095,11.7200002670288,0.160643097385764,0,0
"EN",19,4.16552196101905,14.834478038981,11.7200002670288,0.404996690596454,0,0
"EN",202,2.74565011879623,150,14.8699998855591,0.386999172903597,21.2763451344794,0.996818849996397
"EN",31,4.57421317163769,26.4257868283623,11.1099996566772,0.197352078231052,0.0511829076178225,0.00117838998139992
"EN",18,2.70096583106256,15.2990341689374,15.0100002288818,0.243457903992385,0,0
"EN",90,2.99493353071603,87.005066469284,14.1499996185303,0.74645804874599,33.4949570407868,1.25871674769709
"EN",90,2.76189080969283,87.2381091903072,14.8199996948242,0.150779277645052,6.65777824131183,0.271609283180629
"EN",39,5.69803116817156,33.3019688318284,9.80000019073486,0.138197041116655,0.106311418881644,0.00291750682301161
"EN",90,4.19682267718782,85.8031773228122,11.6700000762939,0.288868100405671,7.82858500446342,0.31600066694431
"EN",90,2.69781781721035,87.3021821827897,15.0200004577637,0.232555005280301,8.38227166041493,0.33817029749077
"EN",18,4.59592125078748,13.4040787492125,11.0799999237061,0.503340439032763,0,0
"PG",90,4.2096854406756,85.7903145593244,11.1199998855591,0.256774504226632,9.04948594509608,0.566731491853348
"EN",90,2.70411961994944,87.2958803800506,15,0.212447325279936,7.92779442475733,0.320716159760299
"EN",90,2.70411961994944,87.2958803800506,15,0.267561879917048,9.22332523711024,0.370313230836071
"EN",90,4.61779162649424,85.3822083735058,11.0500001907349,0.447872614627704,11.3081512355966,0.449638432511245
"EN",90,4.60319349304825,85.3968065069517,11.0699996948242,0.638780140550807,19.3784486639402,0.750120131624463
"EN",31,2.76189080969283,28.2381091903072,14.8199996948242,0.154564798693173,0.0959147637013873,0.00212729648332115
"EN",90,4.48197983596287,85.5180201640371,11.2399997711182,0.625842771213502,19.0942829133226,0.735909700010257
"EN",29,2.70411961994944,26.2958803800506,15,0.378007172117941,0.462719654513958,0.00889239899542433
"EN",90,4.55983001790703,85.440169982093,11.1300001144409,0.59841931948904,17.4374290387629,0.678725319839148
"EN",37,2.707279198326,34.292720801674,14.9899997711182,0.274030060996302,0.707536997337662,0.0168327977153208
"EN",90,2.70411961994944,87.2958803800506,15,0.388794298493303,12.8671232063357,0.508081601430656
"EN",90,2.70411961994944,87.2958803800506,15,0.230384151288308,8.32809435310565,0.336081368631112
"EN",90,4.63246332762877,85.3675366723712,11.0299997329712,0.126797829568386,4.57741440879843,0.190411886215751
"EN",90,4.49597806024599,85.504021939754,11.2200002670288,0.205884314607829,5.86738920214482,0.239857554260646
"EN",90,4.49597806024599,85.504021939754,11.2200002670288,0.154223817191087,5.07619350072299,0.209022004806901
"EN",17,2.69781781721035,14.3021821827896,15.0200004577637,0.866232349071652,29.5315921413723,0.253607069465165
"EN",108,5.67772694348685,102.322273056513,9.81999969482422,0.303867457062006,8.35266363639724,0.366869486431982
"EN",238,5.67772694348685,150,9.81999969482422,0.422250437247567,15.4819761799604,0.740607280357679
"EN",90,4.19053291543647,85.8094670845635,11.6800003051758,0.321931623155251,8.5961257047658,0.345376190096334
"EN",90,4.22213004563151,85.7778699543685,11.6300001144409,0.261582511337474,7.22008880349088,0.292577127661708
"EN",90,5.82229115267318,84.1777088473268,9.68000030517578,0.454410554748029,9.20463651642184,0.369349021839762
"EN",90,4.24767800303151,85.7523219969685,11.5900001525879,0.363230416853912,9.54782743040118,0.38147819146445
"EN",1,5.83283822993302,0,9.67000007629395,0.248619409091771,0,0
"EN",90,4.25410310337082,85.7458968966292,11.5799999237061,0.387175486818887,10.1969791489772,0.406061757643915
"EN",90,4.58143080711188,85.4185691928881,11.1000003814697,0.265984163037501,6.83272578264699,0.27867387052122
"EN",90,4.55266506884707,85.4473349311529,11.1400003433228,0.775623173033819,28.7053124009729,1.0898524655944
